source,target,track
7eLcDZDYHXZCebtQmVFL25,5M9Bb4adKAgrOFOhc05Y50,Llueve sobre mojado
7eLcDZDYHXZCebtQmVFL25,5N3YDBGT2gUzXgLDTwPRi5,Llueve sobre mojado
7eLcDZDYHXZCebtQmVFL25,7c53ZFyajVMTo08HmvoB6b,Mon Amour - Remix
7eLcDZDYHXZCebtQmVFL25,52qzWdNUp6ebjcNsvgZSiC,Aunque No Sea Conmigo
7eLcDZDYHXZCebtQmVFL25,1fURW117sgaPpgIoz8YLXW,Mándame Un Audio - Remix
7eLcDZDYHXZCebtQmVFL25,1hus2QLWtdEpTUSgopRRZq,Mándame Un Audio - Remix
7eLcDZDYHXZCebtQmVFL25,6jJ0s89eD6GaHleKKya26X,Resilient (ft. Aitana) [Tiësto Remix]
7eLcDZDYHXZCebtQmVFL25,2o5jDhtHVPhrJdv3cEQ99Z,Resilient (ft. Aitana) [Tiësto Remix]
7eLcDZDYHXZCebtQmVFL25,5xSx2FM8mQnrfgM1QsHniB,Friend De Semana
7eLcDZDYHXZCebtQmVFL25,4PzYKhC14sTJNEr0dzoo0d,Friend De Semana
7eLcDZDYHXZCebtQmVFL25,07YUOmWljBTXwIseAUd9TW,Corazón Sin Vida
7eLcDZDYHXZCebtQmVFL25,4ckWVaYN8j0EZrNFRHmxZx,Tu Foto Del DNI
7eLcDZDYHXZCebtQmVFL25,5C4PDR4LnhZTbVnKWXuDKD,Más De Lo Que Aposté
7eLcDZDYHXZCebtQmVFL25,0vR2qb8m9WHeZ5ByCbimq2,Enemigos
7eLcDZDYHXZCebtQmVFL25,5gOJTI4TusSENizxhcG7jB,Si Tú La Quieres
7eLcDZDYHXZCebtQmVFL25,5DUlefCLzVRzNWaNURTFpK,+
7eLcDZDYHXZCebtQmVFL25,5C4PDR4LnhZTbVnKWXuDKD,Presiento
7eLcDZDYHXZCebtQmVFL25,6i3DxIlAqnDkwELLw4aVrx,TELÉFONO - Remix
7eLcDZDYHXZCebtQmVFL25,6i3DxIlAqnDkwELLw4aVrx,TELÉFONO - Remix
7eLcDZDYHXZCebtQmVFL25,3MRynBsyLGzv3IQ9Fip6hO,Lo Malo - Remix
7eLcDZDYHXZCebtQmVFL25,5dbaLmK5SHLLg8Z4CcTJpX,Lo Malo - Remix
7eLcDZDYHXZCebtQmVFL25,7vXDAI8JwjW531ouMGbfcp,Lo Malo - Remix
5xSx2FM8mQnrfgM1QsHniB,4PzYKhC14sTJNEr0dzoo0d,Friend De Semana
5xSx2FM8mQnrfgM1QsHniB,7eLcDZDYHXZCebtQmVFL25,Friend De Semana
5xSx2FM8mQnrfgM1QsHniB,07YUOmWljBTXwIseAUd9TW,No Bailes Sola
5xSx2FM8mQnrfgM1QsHniB,5dbaLmK5SHLLg8Z4CcTJpX,Mala Fama - Remix
5xSx2FM8mQnrfgM1QsHniB,5XsWrYhwadPBjW20qYbdZg,Sólo Quédate En Silencio
5xSx2FM8mQnrfgM1QsHniB,5C4PDR4LnhZTbVnKWXuDKD,Idiota
5xSx2FM8mQnrfgM1QsHniB,5gOJTI4TusSENizxhcG7jB,"Vuelve, Vuelve"
5xSx2FM8mQnrfgM1QsHniB,5DUlefCLzVRzNWaNURTFpK,Nada - Remix
5xSx2FM8mQnrfgM1QsHniB,5C4PDR4LnhZTbVnKWXuDKD,Dulce Navidad
5xSx2FM8mQnrfgM1QsHniB,4PzYKhC14sTJNEr0dzoo0d,Friend De Semana
5xSx2FM8mQnrfgM1QsHniB,7eLcDZDYHXZCebtQmVFL25,Friend De Semana
5xSx2FM8mQnrfgM1QsHniB,07YUOmWljBTXwIseAUd9TW,No Bailes Sola - Versión Acústica
5xSx2FM8mQnrfgM1QsHniB,5DUlefCLzVRzNWaNURTFpK,Nada - Acústica
5xSx2FM8mQnrfgM1QsHniB,3bvfu2KAve4lPHrhEFDZna,Santería
5xSx2FM8mQnrfgM1QsHniB,5DUlefCLzVRzNWaNURTFpK,Nada
5xSx2FM8mQnrfgM1QsHniB,07YUOmWljBTXwIseAUd9TW,No Bailes Sola
2IMZYfNi21MGqxopj9fWx8,52iwsT98xCoGgiGntTiR7K,LOS DÍAS CONTADOS
2IMZYfNi21MGqxopj9fWx8,7eLcDZDYHXZCebtQmVFL25,miamor
2IMZYfNi21MGqxopj9fWx8,2UZIAOlrnyZmyzt1nuXr9y,qué le pasa conmigo?
2UZIAOlrnyZmyzt1nuXr9y,2IMZYfNi21MGqxopj9fWx8,qué le pasa conmigo?
2UZIAOlrnyZmyzt1nuXr9y,5UN0rzL594mWY2RbOtZqIN,Tengo To
2UZIAOlrnyZmyzt1nuXr9y,0AqlFI0tz2DsEoJlKSIiT9,Una Foto Remix (feat. Emilia)
2UZIAOlrnyZmyzt1nuXr9y,2IMZYfNi21MGqxopj9fWx8,qué le pasa conmigo?
2UZIAOlrnyZmyzt1nuXr9y,5J7rXWjtn5HzUkJ4Jet8Fr,LA TERAPIA REMIX
2UZIAOlrnyZmyzt1nuXr9y,0AqlFI0tz2DsEoJlKSIiT9,intoxicao
2UZIAOlrnyZmyzt1nuXr9y,7eLcDZDYHXZCebtQmVFL25,Formentera
5J7rXWjtn5HzUkJ4Jet8Fr,5lWasZeo8uWQk6GD8czJLq,1000CANCIONES
5J7rXWjtn5HzUkJ4Jet8Fr,52iwsT98xCoGgiGntTiR7K,QUIZÁS SI QUIZÁS NO
5J7rXWjtn5HzUkJ4Jet8Fr,5lWasZeo8uWQk6GD8czJLq,1000CANCIONES
5J7rXWjtn5HzUkJ4Jet8Fr,52iwsT98xCoGgiGntTiR7K,QUIZÁS SI QUIZÁS NO
5J7rXWjtn5HzUkJ4Jet8Fr,07YUOmWljBTXwIseAUd9TW,Online ;(
5J7rXWjtn5HzUkJ4Jet8Fr,52iwsT98xCoGgiGntTiR7K,QUIZÁS SI QUIZÁS NO
5J7rXWjtn5HzUkJ4Jet8Fr,5lWasZeo8uWQk6GD8czJLq,1000CANCIONES
5J7rXWjtn5HzUkJ4Jet8Fr,2UZIAOlrnyZmyzt1nuXr9y,LA TERAPIA REMIX
5J7rXWjtn5HzUkJ4Jet8Fr,07YUOmWljBTXwIseAUd9TW,A Dónde Van
7D62OQfwvslnxJn9DkZm2F,5M9Bb4adKAgrOFOhc05Y50,Los Domingos No Se Toman Decisiones
7D62OQfwvslnxJn9DkZm2F,5M9Bb4adKAgrOFOhc05Y50,Los Domingos No Se Toman Decisiones
7D62OQfwvslnxJn9DkZm2F,4ckWVaYN8j0EZrNFRHmxZx,Soy Un Chulo
0ZHPrnImGh4re3TbSNkoZl,5C4PDR4LnhZTbVnKWXuDKD,Porfa no te vayas
0ZHPrnImGh4re3TbSNkoZl,0vR2qb8m9WHeZ5ByCbimq2,Mirando a la luna (feat. Reik)
0ZHPrnImGh4re3TbSNkoZl,5M9Bb4adKAgrOFOhc05Y50,Sueño (con Pablo Alborán)
0ZHPrnImGh4re3TbSNkoZl,07YUOmWljBTXwIseAUd9TW,Vuelve
0ZHPrnImGh4re3TbSNkoZl,4ckWVaYN8j0EZrNFRHmxZx,SANTORINI REMIX
0ZHPrnImGh4re3TbSNkoZl,0vR2qb8m9WHeZ5ByCbimq2,Mirando a la luna (feat. Reik)
0ZHPrnImGh4re3TbSNkoZl,5C4PDR4LnhZTbVnKWXuDKD,Porfa no te vayas
0ZHPrnImGh4re3TbSNkoZl,5DUlefCLzVRzNWaNURTFpK,Primera Carta
0ZHPrnImGh4re3TbSNkoZl,3bvfu2KAve4lPHrhEFDZna,cómo te va?
0ZHPrnImGh4re3TbSNkoZl,5M9Bb4adKAgrOFOhc05Y50,Sueño (con Pablo Alborán)
0ZHPrnImGh4re3TbSNkoZl,07YUOmWljBTXwIseAUd9TW,Vuelve
07YUOmWljBTXwIseAUd9TW,7eLcDZDYHXZCebtQmVFL25,Las Dudas
07YUOmWljBTXwIseAUd9TW,5J7rXWjtn5HzUkJ4Jet8Fr,A Dónde Van
07YUOmWljBTXwIseAUd9TW,5M9Bb4adKAgrOFOhc05Y50,Contigo
07YUOmWljBTXwIseAUd9TW,0vR2qb8m9WHeZ5ByCbimq2,Un Año
07YUOmWljBTXwIseAUd9TW,0ZHPrnImGh4re3TbSNkoZl,Vuelve
07YUOmWljBTXwIseAUd9TW,5DUlefCLzVRzNWaNURTFpK,Traicionera - Remix
07YUOmWljBTXwIseAUd9TW,7eLcDZDYHXZCebtQmVFL25,Akureyri
07YUOmWljBTXwIseAUd9TW,5M9Bb4adKAgrOFOhc05Y50,Contigo
07YUOmWljBTXwIseAUd9TW,5xSx2FM8mQnrfgM1QsHniB,No Bailes Sola - Versión Acústica
07YUOmWljBTXwIseAUd9TW,7eLcDZDYHXZCebtQmVFL25,Corazón Sin Vida
07YUOmWljBTXwIseAUd9TW,5J7rXWjtn5HzUkJ4Jet8Fr,A Dónde Van
07YUOmWljBTXwIseAUd9TW,5DUlefCLzVRzNWaNURTFpK,Locura - Remix
07YUOmWljBTXwIseAUd9TW,5xSx2FM8mQnrfgM1QsHniB,No Bailes Sola
07YUOmWljBTXwIseAUd9TW,5C4PDR4LnhZTbVnKWXuDKD,Bajo La Mesa
07YUOmWljBTXwIseAUd9TW,5DUlefCLzVRzNWaNURTFpK,Locura
5DUlefCLzVRzNWaNURTFpK,0ZHPrnImGh4re3TbSNkoZl,Primera Carta
5DUlefCLzVRzNWaNURTFpK,7eLcDZDYHXZCebtQmVFL25,Coldplay
5DUlefCLzVRzNWaNURTFpK,5xSx2FM8mQnrfgM1QsHniB,Nada
5DUlefCLzVRzNWaNURTFpK,07YUOmWljBTXwIseAUd9TW,Locura
5DUlefCLzVRzNWaNURTFpK,0vR2qb8m9WHeZ5ByCbimq2,Borracho De Amor
5DUlefCLzVRzNWaNURTFpK,5gOJTI4TusSENizxhcG7jB,No Hay 2 Sin 3 (Gol)
5DUlefCLzVRzNWaNURTFpK,5gOJTI4TusSENizxhcG7jB,No Hay 2 Sin 3 (Gol)
5DUlefCLzVRzNWaNURTFpK,07YUOmWljBTXwIseAUd9TW,Por Fin Te Encontré
5DUlefCLzVRzNWaNURTFpK,5xSx2FM8mQnrfgM1QsHniB,Nada
5DUlefCLzVRzNWaNURTFpK,07YUOmWljBTXwIseAUd9TW,Locura
5DUlefCLzVRzNWaNURTFpK,0vR2qb8m9WHeZ5ByCbimq2,Borracho De Amor
5DUlefCLzVRzNWaNURTFpK,7eLcDZDYHXZCebtQmVFL25,Coldplay
5DUlefCLzVRzNWaNURTFpK,5dbaLmK5SHLLg8Z4CcTJpX,2005
5DUlefCLzVRzNWaNURTFpK,0ZHPrnImGh4re3TbSNkoZl,Primera Carta
5DUlefCLzVRzNWaNURTFpK,5xSx2FM8mQnrfgM1QsHniB,Nada - Remix
5DUlefCLzVRzNWaNURTFpK,5dbaLmK5SHLLg8Z4CcTJpX,Desesperado (Voy A Tomar)
5DUlefCLzVRzNWaNURTFpK,5xSx2FM8mQnrfgM1QsHniB,Nada - Acústica
5DUlefCLzVRzNWaNURTFpK,5xSx2FM8mQnrfgM1QsHniB,Nada
5DUlefCLzVRzNWaNURTFpK,07YUOmWljBTXwIseAUd9TW,Locura - Remix
5DUlefCLzVRzNWaNURTFpK,07YUOmWljBTXwIseAUd9TW,Locura
5DUlefCLzVRzNWaNURTFpK,0vR2qb8m9WHeZ5ByCbimq2,Borracho De Amor
5DUlefCLzVRzNWaNURTFpK,7eLcDZDYHXZCebtQmVFL25,+
5DUlefCLzVRzNWaNURTFpK,5dbaLmK5SHLLg8Z4CcTJpX,Sólo Mía
3bvfu2KAve4lPHrhEFDZna,0AqlFI0tz2DsEoJlKSIiT9,ULTRAVIOLETA
3bvfu2KAve4lPHrhEFDZna,52iwsT98xCoGgiGntTiR7K,EL TONTO
3bvfu2KAve4lPHrhEFDZna,7vXDAI8JwjW531ouMGbfcp,La Niña de la Escuela
3bvfu2KAve4lPHrhEFDZna,0ZHPrnImGh4re3TbSNkoZl,cómo te va?
3bvfu2KAve4lPHrhEFDZna,5xSx2FM8mQnrfgM1QsHniB,Santería
3bvfu2KAve4lPHrhEFDZna,7vXDAI8JwjW531ouMGbfcp,La Niña de la Escuela
3bvfu2KAve4lPHrhEFDZna,0ZHPrnImGh4re3TbSNkoZl,cómo te va?
3bvfu2KAve4lPHrhEFDZna,52iwsT98xCoGgiGntTiR7K,EL TONTO
3bvfu2KAve4lPHrhEFDZna,5UN0rzL594mWY2RbOtZqIN,Tiki Tiki
3bvfu2KAve4lPHrhEFDZna,5N3YDBGT2gUzXgLDTwPRi5,Mañana
3bvfu2KAve4lPHrhEFDZna,0ZHPrnImGh4re3TbSNkoZl,cómo te va?
3bvfu2KAve4lPHrhEFDZna,7vXDAI8JwjW531ouMGbfcp,High (Remix)
3bvfu2KAve4lPHrhEFDZna,5xSx2FM8mQnrfgM1QsHniB,Santería
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,5dbaLmK5SHLLg8Z4CcTJpX,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7vXDAI8JwjW531ouMGbfcp,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo
3MRynBsyLGzv3IQ9Fip6hO,0CQgFG7XHyXRpSi24kl0cx,Solo Si Es Contigo
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Solo Si Es Contigo
3MRynBsyLGzv3IQ9Fip6hO,1WLEfsQjvgtFSGkrHonzFX,Todas Las Flores
3MRynBsyLGzv3IQ9Fip6hO,5AMBCoLbNgVCbA3XYMRlks,Culpable O No
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,5dbaLmK5SHLLg8Z4CcTJpX,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7vXDAI8JwjW531ouMGbfcp,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,0CQgFG7XHyXRpSi24kl0cx,Solo Si Es Contigo - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Solo Si Es Contigo - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,1WLEfsQjvgtFSGkrHonzFX,Todas Las Flores - Operación Triunfo 2017
3E3qsTzCvTX13A1Zrw7Wnf,4jKvQ93sRiKroRRaAI6Fqk,Magia
3E3qsTzCvTX13A1Zrw7Wnf,7eLcDZDYHXZCebtQmVFL25,Valerie
3E3qsTzCvTX13A1Zrw7Wnf,0CQgFG7XHyXRpSi24kl0cx,Cuando Duermes
3E3qsTzCvTX13A1Zrw7Wnf,1WLEfsQjvgtFSGkrHonzFX,Robarte Un Beso
3E3qsTzCvTX13A1Zrw7Wnf,5AMBCoLbNgVCbA3XYMRlks,Estoy Hecho De Pedacitos De Ti
3E3qsTzCvTX13A1Zrw7Wnf,4jKvQ93sRiKroRRaAI6Fqk,Runnin' (Lose It All)
3E3qsTzCvTX13A1Zrw7Wnf,4jKvQ93sRiKroRRaAI6Fqk,Magia - Operación Triunfo 2017
3E3qsTzCvTX13A1Zrw7Wnf,7eLcDZDYHXZCebtQmVFL25,Valerie - Operación Triunfo 2017
3E3qsTzCvTX13A1Zrw7Wnf,0CQgFG7XHyXRpSi24kl0cx,Cuando Duermes
3E3qsTzCvTX13A1Zrw7Wnf,1WLEfsQjvgtFSGkrHonzFX,Robarte Un Beso - Operación Triunfo 2017
3E3qsTzCvTX13A1Zrw7Wnf,5AMBCoLbNgVCbA3XYMRlks,Estoy Hecho De Pedacitos De Ti - Operación Triunfo 2017
3E3qsTzCvTX13A1Zrw7Wnf,4jKvQ93sRiKroRRaAI6Fqk,Runnin' (Lose It All) - Operación Triunfo 2017
4jKvQ93sRiKroRRaAI6Fqk,3E3qsTzCvTX13A1Zrw7Wnf,Magia - Operación Triunfo 2017
4jKvQ93sRiKroRRaAI6Fqk,7eLcDZDYHXZCebtQmVFL25,Lucha De Gigantes
4jKvQ93sRiKroRRaAI6Fqk,1WLEfsQjvgtFSGkrHonzFX,Lucha De Gigantes
4jKvQ93sRiKroRRaAI6Fqk,0P9kGWWUX38kvwbqMePLBr,Manos Vacías - Operación Triunfo 2017
4jKvQ93sRiKroRRaAI6Fqk,0CQgFG7XHyXRpSi24kl0cx,The Lady Is A Tramp - Operación Triunfo 2017
4jKvQ93sRiKroRRaAI6Fqk,7eLcDZDYHXZCebtQmVFL25,Can't Stop The Feeling! - Operación Triunfo 2017
4jKvQ93sRiKroRRaAI6Fqk,3E3qsTzCvTX13A1Zrw7Wnf,Runnin' (Lose It All) - Operación Triunfo 2017
1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25,La Canción Que No Quiero Cantarte
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,Tu Canción
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,Todo Mi Amor Eres Tú (I Just Can't Stop Loving You)
1WLEfsQjvgtFSGkrHonzFX,4jKvQ93sRiKroRRaAI6Fqk,Lucha De Gigantes
1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25,Lucha De Gigantes
1WLEfsQjvgtFSGkrHonzFX,3E3qsTzCvTX13A1Zrw7Wnf,Robarte Un Beso
1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25,Con Las Ganas
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,City Of Stars
1WLEfsQjvgtFSGkrHonzFX,3MRynBsyLGzv3IQ9Fip6hO,Todas Las Flores
1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25,La Canción Que No Quiero Cantarte
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,Your Song
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,Tu Canción
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,Tu Canción - Operación Triunfo 2017
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,Todo Mi Amor Eres Tú (I Just Can't Stop Loving You) - Operación Triunfo 2017
1WLEfsQjvgtFSGkrHonzFX,4jKvQ93sRiKroRRaAI6Fqk,Lucha De Gigantes
1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25,Lucha De Gigantes
1WLEfsQjvgtFSGkrHonzFX,3E3qsTzCvTX13A1Zrw7Wnf,Robarte Un Beso - Operación Triunfo 2017
1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25,Con Las Ganas - Operación Triunfo 2017
1WLEfsQjvgtFSGkrHonzFX,0CQgFG7XHyXRpSi24kl0cx,City Of Stars - Operación Triunfo 2017
1WLEfsQjvgtFSGkrHonzFX,3MRynBsyLGzv3IQ9Fip6hO,Todas Las Flores - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Et Vull Veure
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Et Vull Veure
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Tu Canción
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Todo Mi Amor Eres Tú (I Just Can't Stop Loving You)
0CQgFG7XHyXRpSi24kl0cx,3E3qsTzCvTX13A1Zrw7Wnf,Cuando Duermes
0CQgFG7XHyXRpSi24kl0cx,7eLcDZDYHXZCebtQmVFL25,Solo Si Es Contigo
0CQgFG7XHyXRpSi24kl0cx,3MRynBsyLGzv3IQ9Fip6hO,Solo Si Es Contigo
0CQgFG7XHyXRpSi24kl0cx,4jKvQ93sRiKroRRaAI6Fqk,The Lady Is A Tramp
0CQgFG7XHyXRpSi24kl0cx,7eLcDZDYHXZCebtQmVFL25,El Mismo Sol
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,City Of Stars
0CQgFG7XHyXRpSi24kl0cx,0P9kGWWUX38kvwbqMePLBr,Everytime You Go Away
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Your Song
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Tu Canción
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Tu Canción - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,Todo Mi Amor Eres Tú (I Just Can't Stop Loving You) - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,3E3qsTzCvTX13A1Zrw7Wnf,Cuando Duermes
0CQgFG7XHyXRpSi24kl0cx,7eLcDZDYHXZCebtQmVFL25,Solo Si Es Contigo - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,3MRynBsyLGzv3IQ9Fip6hO,Solo Si Es Contigo - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,4jKvQ93sRiKroRRaAI6Fqk,The Lady Is A Tramp - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,7eLcDZDYHXZCebtQmVFL25,El Mismo Sol - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,1WLEfsQjvgtFSGkrHonzFX,City Of Stars - Operación Triunfo 2017
0CQgFG7XHyXRpSi24kl0cx,0P9kGWWUX38kvwbqMePLBr,Everytime You Go Away - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,5dbaLmK5SHLLg8Z4CcTJpX,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7vXDAI8JwjW531ouMGbfcp,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo
3MRynBsyLGzv3IQ9Fip6hO,0CQgFG7XHyXRpSi24kl0cx,Solo Si Es Contigo
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Solo Si Es Contigo
3MRynBsyLGzv3IQ9Fip6hO,1WLEfsQjvgtFSGkrHonzFX,Todas Las Flores
3MRynBsyLGzv3IQ9Fip6hO,5AMBCoLbNgVCbA3XYMRlks,Culpable O No
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,5dbaLmK5SHLLg8Z4CcTJpX,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7vXDAI8JwjW531ouMGbfcp,Lo Malo - Remix
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Lo Malo - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,0CQgFG7XHyXRpSi24kl0cx,Solo Si Es Contigo - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,7eLcDZDYHXZCebtQmVFL25,Solo Si Es Contigo - Operación Triunfo 2017
3MRynBsyLGzv3IQ9Fip6hO,1WLEfsQjvgtFSGkrHonzFX,Todas Las Flores - Operación Triunfo 2017
0P9kGWWUX38kvwbqMePLBr,4jKvQ93sRiKroRRaAI6Fqk,Manos Vacías - Operación Triunfo 2017
0P9kGWWUX38kvwbqMePLBr,7eLcDZDYHXZCebtQmVFL25,Let Me Love You - Operación Triunfo 2017
